epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,28536.1,1.25921,0.88616,1.16022,0.69633,0.82283,0.77575,0.5003,1.28949,0.79362,1.20527,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,28959.7,1.2548,0.8828,1.15969,0.69625,0.82205,0.77598,0.50088,1.2887,0.79214,1.20433,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,29383.2,1.2485,0.87251,1.15712,0.69665,0.82254,0.77641,0.50131,1.28782,0.791,1.20341,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,29808.2,1.24658,0.86862,1.1522,0.69845,0.82268,0.7767,0.50194,1.28697,0.78985,1.20255,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,30231.9,1.23729,0.86043,1.1503,0.69858,0.82262,0.77664,0.50216,1.28615,0.78859,1.20171,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,30653.7,1.23968,0.85902,1.14956,0.70012,0.82324,0.77659,0.50254,1.28536,0.78752,1.20089,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,31074.5,1.23795,0.85599,1.14954,0.7017,0.82366,0.77715,0.50277,1.28475,0.78633,1.20023,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,31494.6,1.2267,0.84846,1.14333,0.70131,0.8243,0.77735,0.50294,1.28392,0.78531,1.19944,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,31914.4,1.22733,0.8472,1.14021,0.70046,0.82515,0.77747,0.50357,1.28291,0.78425,1.1984,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,32336.7,1.21493,0.84044,1.14075,0.70175,0.82597,0.77769,0.50363,1.28218,0.78331,1.19767,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,32759.5,1.2167,0.83213,1.13933,0.70424,0.82598,0.77795,0.50397,1.28128,0.78206,1.19681,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,33182.9,1.21421,0.83006,1.13639,0.70712,0.82403,0.77831,0.50433,1.28032,0.78133,1.19587,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,33606,1.21539,0.83151,1.13584,0.70596,0.82576,0.77839,0.50473,1.27956,0.78062,1.19503,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,34029.6,1.20844,0.82317,1.13281,0.70559,0.82636,0.77871,0.50506,1.27885,0.77992,1.19433,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,34452.5,1.20224,0.81805,1.12968,0.70881,0.82435,0.77903,0.50525,1.27821,0.77923,1.19355,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,34876.9,1.20205,0.8188,1.13239,0.70964,0.82293,0.77924,0.50545,1.27767,0.77854,1.1929,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,35302.4,1.19417,0.81303,1.127,0.71196,0.82218,0.77924,0.50605,1.2772,0.77771,1.19225,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,35723.3,1.19344,0.80764,1.12531,0.71226,0.82367,0.77939,0.50604,1.27667,0.77704,1.19172,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,36147.5,1.19142,0.80421,1.12331,0.71294,0.82355,0.77951,0.50625,1.27632,0.7765,1.19113,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,36571,1.18902,0.80163,1.1224,0.71408,0.82323,0.77961,0.50654,1.27563,0.776,1.19041,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,36992.3,1.1878,0.79846,1.12271,0.71516,0.82508,0.77959,0.50699,1.27509,0.77552,1.18971,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,37413.1,1.18656,0.79617,1.12015,0.71662,0.82199,0.77957,0.507,1.27454,0.77519,1.18912,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,37834.1,1.17949,0.79187,1.1197,0.71743,0.82287,0.77967,0.50724,1.2743,0.77497,1.18853,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,38257.6,1.17774,0.79085,1.11959,0.71777,0.82315,0.77961,0.50753,1.27383,0.77463,1.18802,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
